N/A	 Fortnite: Battle	 Build	 Survive!	2018	 Documentary	 N/A)
N/A	 Inuyasha the Movie: Vol. 4 - Fire on the Mystic Island	2005	 N/A	 N/A)		
N/A	 Once Upon a Time in Shanghai	1998	 Drama	 N/A)		
N/A	 The Snake and Mongoose Chronicles: Episode 1	2011	 Short	 N/A)		
N/A	 The Story of Jay-Z	2020	 Documentary	 Biography	 Music	 N/A)
8.6	 The Silence of the Lambs	1991	 Crime	 Drama	 Thriller	 8.6)
8.4	 "John Wick: The Assassins Code"	2015	 Documentary	 Short	 8.4)	
8.3	 Queen + Paul Rodgers: Return of the Champions	2005	 Documentary	 Music	 8.3)	
8.1	 Linda Ronstadt: The Sound of My Voice	2019	 Documentary	 Biography	 Music	 8.1)
8.1	 Monsters	 Inc.	2001	 Animation	 Adventure	 Comedy
8.1	 All Quiet on the Western Front	1930	 Drama	 War	 8.1)	
8.1	 The Kids Are Alright	1979	 Documentary	 Music	 8.1)	
8	 The Terminator	1984	 Action	 Sci-Fi	 8.0)	
8	 The Night of the Hunter	1955	 Crime	 Drama	 Film-Noir	 8.0)
7.9	 The Drew: No Excuse	 Just Produce	2015	 Documentary	 Biography	 Sport
7.8	 Zero Days	2016	 Documentary	 7.8)		
7.8	 Food	 Inc.	2008	 Documentary	 News	 7.8)
7.8	 Standing in the Shadows of Motown	2002	 Documentary	 Music	 7.8)	
7.8	 Sound City	2013	 Documentary	 Music	 7.8)	
7.8	 Grizzly Man	2005	 Documentary	 Biography	 7.8)	
7.8	 Red River	1948	 Action	 Adventure	 Drama	 7.8)
7.8	 Nowitzki: The Perfect Shot	2014	 Documentary	 Biography	 Sport	 7.8)
7.7	 Zodiac	2007	 Crime	 Drama	 Mystery	 7.7)
7.7	 O Brother	 Where Art Thou?	2000	 Adventure	 Comedy	 Crime
7.7	 500) Days of Summer	2009	 Comedy	 Drama	 Romance	 7.7)
7.7	 Silver Linings Playbook	2012	 Comedy	 Drama	 Romance	 7.7)
7.6	 Teen Wolf	 2011–2017	 Action	 Drama	 Fantasy	 7.6)
7.6	 The Illusionist	2006	 Drama	 Fantasy	 Mystery	 7.6)
7.6	 The Legend of Bruce Lee	2009	 Action	 Biography	 Drama	 7.6)
7.6	 Once Upon a Time... in Hollywood	2019	 Comedy	 Drama	 7.6)	
7.6	 The Secret of NIMH	1982	 Animation	 Adventure	 Drama	 7.6)
7.6	 The Ron Clark Story	2006	 Biography	 Drama	 7.6)	
7.5	 Of Mice and Men	1992	 Drama	 Western	 7.5)	
7.5	 Support Your Local Sheriff!	1969	 Comedy	 Western	 7.5)	
7.5	 Interview with the Vampire: The Vampire Chronicles	1994	 Drama	 Horror	 7.5)	
7.5	 The Assassination of Jesse James by the Coward Robert Ford	2007	 Biography	 Crime	 Drama	 7.5)
7.5	 Lone Survivor	2013	 Action	 Biography	 Drama	 7.5)
7.5	 The Freedom Force	 1978–	 Animation	 Fantasy	 Sci-Fi	 7.5)
7.5	 Fat	 Sick & Nearly Dead	2010	 Documentary	 7.5)	
7.5	 Hoosiers	1986	 Drama	 Sport	 7.5)	
7.5	 The Assassination of Jesse James by the Coward Robert Ford	2007	 Biography	 Crime	 Drama	 7.5)
7.5	 Milius	2013	 Documentary	 Biography	 Drama	 7.5)
7.5	 Stargate: Continuum	2008	 Action	 Adventure	 Drama	 Fantasy
7.4	 Mission: Impossible - Ghost Protocol	2011	 Action	 Adventure	 Thriller	 7.4)
7.4	 The Terminal	2004	 Comedy	 Drama	 Romance	 7.4)
